	date	state	positive	negative	pending	hospitalized	death	total	hash	dateChecked	totalTestResults	fips	deathIncrease	hospitalizedIncrease	negativeIncrease	positiveIncrease	totalTestResultsIncrease
116	20200330	AZ	1157.0	15602.0		78.0	20.0	16759	2f64421fc130d03c93a0fa1b89e44c0324ac15a3	2020-03-30T20:00:00Z	16759	4	3.0	0.0	2649.0	238.0	2887.0
117	20200330	CA	6447.0	20549.0	64400.0	1432.0	133.0	91396	ae23f3ed0050ca169785393619aae098baa36d78	2020-03-30T20:00:00Z	26996	6	10.0	398.0	0.0	739.0	739.0
118	20200330	CO	2627.0	12737.0		414.0	51.0	15364	c70054a7876c11499db447d601c251b4baad5c4b	2020-03-30T20:00:00Z	15364	8	7.0	140.0	1522.0	566.0	2088.0
119	20200330	CT	2571.0	12029.0		517.0	36.0	14600	c7a09c7b2d09d7e50d21fb04c5156952768fda52	2020-03-30T20:00:00Z	14600	9	2.0	113.0	2122.0	578.0	2700.0
120	20200330	DC	401.0	2682.0	2.0		9.0	3085	0c3532ee92ec0f7ec68a95b6dbae5daf49d01d2c	2020-03-30T20:00:00Z	3083	11	4.0	0.0	213.0	59.0	272.0
121	20200330	DE	264.0	2216.0		45.0	6.0	2480	cd97572fc382e92b8daff2c36a60480786638950	2020-03-30T20:00:00Z	2480	10	0.0	12.0	2180.0	32.0	2212.0
122	20200330	FL	5473.0	48225.0		652.0	63.0	53698	0badf5e52b9c11fdf5213029afbe9dcc46a93b57	2020-03-30T20:00:00Z	53698	12	7.0	58.0	9155.0	1227.0	10382.0
123	20200330	GA	2809.0	9915.0		707.0	87.0	12724	5afeff3e0c5318d6e7226fe09e836045a6d86ff9	2020-03-30T20:00:00Z	12724	13	7.0	41.0	2.0	158.0	160.0
124	20200330	GU	58.0	352.0		19.0	1.0	410	f3942d6c0bf6aafddc4d8d8a132df20317833161	2020-03-30T20:00:00Z	410	66	0.0	4.0	18.0	2.0	20.0
125	20200330	HI	175.0	7825.0	13.0	12.0	0.0	8013	2f9323d88e8a55d366f96a0f7a6ee3b5a389fa60	2020-03-30T20:00:00Z	8000	15	0.0	0.0	976.0	24.0	1000.0
126	20200330	IA	424.0	6162.0		74.0	6.0	6586	c9c764ddd50386699f307f53648baf5921281579	2020-03-30T20:00:00Z	6586	19	2.0	6.0	1149.0	88.0	1237.0
127	20200330	ID	310.0	4396.0		39.0	6.0	4706	c27ba2dab97484d3b368938dea44f9a318c63d78	2020-03-30T20:00:00Z	4706	16	1.0	3.0	375.0	49.0	424.0
128	20200330	IL	5057.0	25389.0			73.0	30446	db16bd0b1c0f9046c733f293408dbe1f719d965c	2020-03-30T20:00:00Z	30446	17	8.0	0.0	2223.0	461.0	2684.0
129	20200330	IN	1786.0	9872.0			35.0	11658	7b1f88be2b7841400151295b7b55eb9a4318217e	2020-03-30T20:00:00Z	11658	18	3.0	0.0	1556.0	272.0	1828.0
130	20200330	KS	368.0	4554.0		66.0	8.0	4922	91f8f02b4f426d830018993036de3ad80b1ef881	2020-03-30T20:00:00Z	4922	20	2.0	11.0	360.0	49.0	409.0
131	20200330	KY	439.0	5579.0			9.0	6018	6c7f6eabc07ccc1c50686b4f803116cd4f8f41a4	2020-03-30T20:00:00Z	6018	21	0.0	0.0	432.0	45.0	477.0
132	20200330	LA	4025.0	30008.0		1185.0	185.0	34033	488fd76d7cbbf16cc4fa00ee1232ba01d292b960	2020-03-30T20:00:00Z	34033	22	34.0	58.0	5677.0	485.0	6162.0
133	20200330	MA	5752.0	37041.0		453.0	56.0	42793	fdfd43359ac7ada466f488ec008cee5fdd97cbe1	2020-03-30T20:00:00Z	42793	25	8.0	54.0	2930.0	797.0	3727.0
