	date	death	  0 - 30	30 - 50	50 - 55	55 - 60	60 - 65	65 - 70	70 - 75	75 - 80 	80 - 85	85 - 90	90 - 95	95 - 100	100 u. mehr
280	2016-10-07	2368	19	73	54	104	121	153	218	368	403	422	311	110	12
281	2016-10-08	2443	28	66	64	89	141	149	176	419	442	455	298	107	9
282	2016-10-09	2292	15	73	57	90	107	180	201	347	372	438	305	91	16
283	2016-10-10	2403	31	75	59	86	122	176	202	361	425	446	297	100	23
284	2016-10-11	2415	22	60	62	115	104	175	182	360	430	440	324	126	15
285	2016-10-12	2447	33	68	68	89	121	189	202	357	407	476	323	110	4
286	2016-10-13	2479	23	60	66	105	147	143	211	355	436	463	335	120	15
287	2016-10-14	2593	24	86	65	106	152	160	235	398	437	495	318	99	18
288	2016-10-15	2619	25	55	54	89	114	180	214	407	463	490	395	110	23
289	2016-10-16	2471	34	69	52	91	122	167	210	380	402	462	358	105	19
290	2016-10-17	2531	23	79	75	88	114	181	200	420	412	471	339	109	20
291	2016-10-18	2604	29	71	82	88	132	169	220	388	454	514	325	116	16
292	2016-10-19	2561	12	53	68	115	144	159	211	395	443	488	348	111	14
293	2016-10-20	2501	22	67	73	99	124	175	202	367	445	442	358	109	18
294	2016-10-21	2566	25	61	61	98	129	141	228	383	433	502	370	118	17
295	2016-10-22	2406	18	50	66	94	127	180	202	384	398	473	306	97	11
296	2016-10-23	2430	20	74	42	86	110	153	219	368	464	439	325	113	17
297	2016-10-24	2588	14	71	72	101	124	197	207	376	447	492	352	108	27
298	2016-10-25	2475	24	75	50	113	132	156	188	399	439	436	351	98	14
299	2016-10-26	2556	24	83	57	110	114	188	217	386	443	495	326	94	19
300	2016-10-27	2446	24	56	54	89	137	156	207	358	463	474	305	113	10
301	2016-10-28	2596	8	65	83	91	135	171	233	405	415	519	342	113	16
302	2016-10-29	2476	14	71	60	116	120	173	167	389	468	426	349	98	25
303	2016-10-30	2449	18	54	60	93	143	159	188	360	407	467	366	109	25
304	2016-10-31	2507	22	78	63	102	133	180	203	372	452	435	345	107	15
305	2016-11-01	2523	30	61	79	95	123	152	216	367	447	461	350	123	19
306	2016-11-02	2553	21	73	65	103	145	157	230	397	427	455	352	112	16
307	2016-11-03	2462	21	69	53	90	117	153	207	376	458	444	339	120	15
308	2016-11-04	2545	18	82	53	95	132	162	209	397	457	465	343	106	26
309	2016-11-05	2581	21	68	62	88	147	183	220	366	443	486	352	128	17
310	2016-11-06	2409	23	71	67	76	114	147	209	350	443	457	332	108	12
311	2016-11-07	2525	26	72	76	100	126	164	207	383	432	485	333	103	18
312	2016-11-08	2522	26	60	84	84	127	164	189	389	445	478	337	126	13
313	2016-11-09	2520	15	65	56	107	138	183	209	361	415	502	341	109	19
314	2016-11-10	2593	25	58	62	97	131	186	215	404	443	465	346	136	25
315	2016-11-11	2553	28	61	61	87	134	172	212	380	441	482	353	122	20
316	2016-11-12	2543	19	67	65	94	135	201	188	405	405	492	347	115	10
317	2016-11-13	2526	22	58	61	99	142	158	205	377	460	477	349	102	16
318	2016-11-14	2588	16	63	60	85	140	170	193	410	445	504	373	113	16
319	2016-11-15	2598	26	61	65	98	144	168	229	358	450	518	351	113	17
320	2016-11-16	2770	26	58	52	112	131	173	214	458	521	505	390	116	14
321	2016-11-17	2613	19	72	54	117	126	176	222	393	467	467	360	120	20
322	2016-11-18	2677	30	65	67	99	142	188	235	439	450	490	328	120	24
323	2016-11-19	2711	30	68	59	84	137	162	211	393	481	576	378	107	25
324	2016-11-20	2634	35	72	65	100	125	159	222	394	454	522	360	104	22
325	2016-11-21	2541	25	82	61	95	125	145	212	350	447	492	362	128	17
