	week	region	age_group	male	female	total
224	02/02/2017-08/02/2017	Abruzzo	3	9.0	7.0	16.0
225	09/02/2017-15/02/2017	Abruzzo	3	7.0	4.0	11.0
226	16/02/2017-22/02/2017	Abruzzo	3	9.0	11.0	20.0
227	23/02/2017-29/02/2017	Abruzzo	3	7.0	10.0	17.0
228	01/03/2017-07/03/2017	Abruzzo	3	10.0	10.0	20.0
229	08/03/2017-14/03/2017	Abruzzo	3	12.0	12.0	24.0
230	15/03/2017-21/03/2017	Abruzzo	3	10.0	10.0	20.0
231	01/01/2018-11/01/2018	Abruzzo	3	21.0	24.0	45.0
232	12/01/2018-18/01/2018	Abruzzo	3	9.0	8.0	17.0
233	19/01/2018-25/01/2018	Abruzzo	3	15.0	8.0	23.0
234	26/01/2018-01/02/2018	Abruzzo	3	10.0	14.0	24.0
235	02/02/2018-08/02/2018	Abruzzo	3	7.0	11.0	18.0
236	09/02/2018-15/02/2018	Abruzzo	3	10.0	9.0	19.0
237	16/02/2018-22/02/2018	Abruzzo	3	17.0	14.0	31.0
238	23/02/2018-29/02/2018	Abruzzo	3	12.0	6.0	18.0
239	01/03/2018-07/03/2018	Abruzzo	3	10.0	19.0	29.0
240	08/03/2018-14/03/2018	Abruzzo	3	9.0	11.0	20.0
241	15/03/2018-21/03/2018	Abruzzo	3	9.0	10.0	19.0
242	01/01/2019-11/01/2019	Abruzzo	3	9.0	22.0	31.0
243	12/01/2019-18/01/2019	Abruzzo	3	8.0	17.0	25.0
244	19/01/2019-25/01/2019	Abruzzo	3	7.0	16.0	23.0
245	26/01/2019-01/02/2019	Abruzzo	3	13.0	9.0	22.0
246	02/02/2019-08/02/2019	Abruzzo	3	18.0	17.0	35.0
247	09/02/2019-15/02/2019	Abruzzo	3	11.0	8.0	19.0
248	16/02/2019-22/02/2019	Abruzzo	3	12.0	11.0	23.0
249	23/02/2019-29/02/2019	Abruzzo	3	11.0	16.0	27.0
250	01/03/2019-07/03/2019	Abruzzo	3	14.0	9.0	23.0
251	08/03/2019-14/03/2019	Abruzzo	3	7.0	6.0	13.0
252	15/03/2019-21/03/2019	Abruzzo	3	6.0	9.0	15.0
253	01/01/2020-11/01/2020	Abruzzo	3	15.0	18.0	33.0
254	12/01/2020-18/01/2020	Abruzzo	3	12.0	12.0	24.0
255	19/01/2020-25/01/2020	Abruzzo	3	8.0	12.0	20.0
256	26/01/2020-01/02/2020	Abruzzo	3	14.0	21.0	35.0
